id;location;contact
1;Albany-Corvallis ReUseIt (free items:  groups.yahoo.com);n/a
2;Arc Thrift Stores (NW Beca-Corvallis, Main St-Philomath);various
3;Benny's Business Closet (D 101 Weatherford Hall, OSU);541-757-0739
4;Benton County Extension / 4-H Activities (1849 NW 9th);541-766-6750
5;Benton County Master Gardeners (1849 NW 9th St);541-766-6750
6;Book Bin and Browser's Bookstore (both on 4th St);various
7;Boys & Girls Club of Corvallis (1112 NW Circle Blvd);541-757-1909
8;CARDV (Center Against Rape & Domestic Violence);541-758-0219
9;Career Closet for Women (drop-off at 942 NW 9th, Ste.A);541-752-4214
10;CASA - Voices for Children (129 NW 4th St);541-753-5838
11;Children's Farm Home (Hwy 20 btw Corvallis & Albany);541-757-1852
12;Chintimini Wildlife Rehabilitation Ctr (311 Lewisburg Rd);541-745-5324
13;Community Outreach (homeless shelter, 865 NW Reiman);541-758-3000
14;Corvallis Bicycle Collective (707 NW 11th St);541-224-6885
15;Corvallis Environmental Center (214 SW Monroe Ave);541-753-9211
16;Corvallis Exchange - New & Used (210 NW 2nd St);541-230-1765
17;Corvallis Furniture (1810 SW 3rd St/Hwy 99);541-286-4658
18;Craigslist (corvallis.craigslist.org) and Freecycle.org;n/a
19;Edge Analytics Lab (540 SW 3rd) COOLERS / BOXES ONLY;541-753-4946
20;First Alternative Co-op Recycling Center (1007 SE 3rd St);541-753-3115
21;First Alternative Co-op Stores (on NW Grant & SE 3rd);various
22;Furniture Share (formerly Benton FS) (155 SE Lilly Ave);541-754-9511
23;Gibbs Furniture (334 SW 2nd St);541-758-5454
24;Goodwill Industries (1325 NW 9th St);541-752-8278
25;Grace Center for Adult Day Services (980 NW Spruce);541-754-8417
26;Habitat for Humanity ReStore (4840 SW Philomath Blvd);541-752-6637
27;Happy Trails Records, Tapes & CDs (100 SW 3rd St);541-752-9032
28;Heartland Humane Society (398 SW Twin Oaks Cir);541-757-9000
29;Heartland Humane Society Thrift Shop (411 SW 3rd St);541-757-0573
30;Home Grown Gardens (4845 SE 3rd St/Hwy 99W);541-758-2137
31;Home Life Inc. (for develop. disabled, 2068 NW Fillmore);541-753-9015
32;Jackson Street Youth Services (555 NW Jackson St);541-754-2404
33;Linn Benton Food Share (lg. food donations, 545 SW 2nd);541-752-1010
34;Lions Club (box inside Elks Lodge, 1400 NW 9th St);541-758-0222
35;Love INC (for low income citizens, 2330 NW Profess. Dr);541-757-8111
36;Mario Pastega House (Good Sam patient family housing);541-768-4650
37;Mary's River Gleaners (for low income citizens);541-497-9019
38;Midway Farms (Hwy 20 btw Corvallis & Albany);541-740-6141
39;Neighbor to Neighbor (food pantry, 1123 Main, Philomath);541-929-6614
40;9th St Second Hand (1430 NW 9th, in Chateau Hm Furn.);541-230-1900
41;OSU Emergency Food Pantry (233 Snell Hall, SW Jefferson);541-737-3747
42;OSU Folk Club Thrift Shop (144 NW 2nd St);541-752-4733
43;OSU Organic Growers Club (Crop & Soil Science Dep't);541-979-5833
44;OSU Surplus Property (644 SW 13th St);541-737-7347
45;Pak Mail (2397 NW Kings Blvd, Timberhill Shopping Ctr);541-754-8411
46;Philomath- Lupe's Community Garden  (call for address);541-929-9499
47;Philomath Community Srvcs (food & kids stuff, 360 S 9th);541-929-2499
48;Play It Again Sports (1422 NW 9th St);541-754-7529
49;Presbyterian Piecemakers (cotton quilts);541-753-7516
50;Public Library Corvallis, Friends of (645 NW Monroe Ave) ;541-766-6928
51;Quilts From Caring Hands (cotton quilts);541-758-8161
52;Rapid Refill Ink (254 SW Madison);541-758-8444
53;re·volve (women's resale boutique, 103 SW 2nd St);541-754-1154
54;Runway Fashion Exchange (264 SW Madison Ave);541-360-0100
55;Schools--Public, Private, Charter ;various
56;Second Glance/Annex/The Alley (SW 3rd & SW Jefferson);various
57;Senior Center, Corvallis (2601 NW Tyler Ave);541-766-6959
58;South Corvallis Food Bank (1798 SW 3rd St);541-753-4263
59;Spaeth Heritage House ;
60;Stone Soup (St Mary's Church, 501 NW 25th St);541-757-1988
61;St Vincent de Paul Thrift/Pantry (next to St Mary's, NW 25th);541-757-1988
62;UPS Stores (on NW Circle & on SW Philomath Blvd) ;various
63;Vina Moses (for low income citizens, 968 NW Garfield);541-753-1420
